iter	RMSE
0	11.37575407
1	11.31192987
2	11.25156889
3	11.1953652
4	11.13464417
5	11.08164732
6	11.02927035
7	10.98349922
8	10.93372341
9	10.88938558
10	10.84097752
11	10.79983021
12	10.75541449
13	10.72407468
14	10.69292969
15	10.65825205
16	10.62060379
17	10.59762352
18	10.57450927
19	10.54378786
20	10.50712332
21	10.47479767
22	10.4473384
23	10.42106556
24	10.39948099
25	10.37320914
26	10.35227282
27	10.33150126
28	10.31094647
29	10.27625263
30	10.24304455
31	10.21701736
32	10.18716285
33	10.16339351
34	10.14463652
35	10.12814862
36	10.10974341
37	10.09321809
38	10.05977814
39	10.04234609
40	10.01974746
41	9.996233745
42	9.975422721
43	9.959958283
44	9.936598233
45	9.910286262
46	9.893406844
47	9.872574186
48	9.853048978
49	9.840166528
50	9.820471452
51	9.800370752
52	9.784662973
53	9.770002922
54	9.748502147
55	9.72890562
56	9.709828188
57	9.692197585
58	9.671518992
59	9.652000159
60	9.646030194
61	9.630609196
62	9.612438821
63	9.6029059
64	9.578170619
65	9.564520859
66	9.544637565
67	9.531185979
68	9.523000788
69	9.503985877
70	9.497730837
71	9.490957662
72	9.483078346
73	9.471228262
74	9.451927834
75	9.435469519
76	9.417246217
77	9.403487649
78	9.376473098
79	9.365731999
80	9.344453773
81	9.332650837
82	9.3214371
83	9.30781182
84	9.296835305
85	9.280849886
86	9.270946596
87	9.254896576
88	9.241896059
89	9.227448089
90	9.215885859
91	9.202832085
92	9.185864922
93	9.178251657
94	9.167739581
95	9.159702936
96	9.141837194
97	9.134044348
98	9.121546701
99	9.116269781
100	9.106703497
101	9.098816296
102	9.089192738
103	9.082417823
104	9.072713208
105	9.065524611
106	9.049174039
107	9.039101418
108	9.026234776
109	9.011246749
110	9.00009411
111	8.995679124
112	8.982800054
113	8.968588608
114	8.958314253
115	8.950532328
116	8.94050625
117	8.928154017
118	8.91873129
119	8.909983747
120	8.89751681
121	8.88435898
122	8.878092396
123	8.872869232
124	8.859011325
125	8.844606944
126	8.832549156
127	8.820785722
128	8.811287028
129	8.803339288
130	8.794024956
131	8.779786912
132	8.768497636
133	8.760037578
134	8.749288526
135	8.737320793
136	8.72137284
137	8.71117306
138	8.6928443
139	8.685890892
140	8.675938932
141	8.669886439
142	8.662235512
143	8.651380934
144	8.6409051
145	8.623971833
146	8.617171773
147	8.604505494
148	8.598191224
149	8.587308476
150	8.573209068
151	8.562426828
152	8.549999284
153	8.541917073
154	8.526486914
155	8.517223579
156	8.50825624
157	8.500274366
158	8.494667576
159	8.483887148
160	8.477218819
161	8.466075899
162	8.455046341
163	8.445406218
164	8.439767577
165	8.431310047
166	8.421516901
167	8.414660143
168	8.407932739
169	8.393687108
170	8.386659942
171	8.378868147
172	8.368422549
173	8.360294447
174	8.348192246
175	8.336438669
176	8.325846937
177	8.314562567
178	8.307766705
179	8.295022429
180	8.285393222
181	8.2751404
182	8.267835464
183	8.261172356
184	8.251257443
185	8.24126468
186	8.229718908
187	8.225394777
188	8.214288882
189	8.208380252
190	8.205069598
191	8.195662418
192	8.187967562
193	8.17808202
194	8.172150058
195	8.165982894
196	8.150643955
197	8.143808949
198	8.133322041
199	8.12712904
200	8.119321612
201	8.108133285
202	8.090525995
203	8.083850723
204	8.073923676
205	8.067420963
206	8.062523629
207	8.040760375
208	8.0369319
209	8.027085299
210	8.019751512
211	8.009791801
212	7.997729588
213	7.991378885
214	7.980371482
215	7.977158514
216	7.972250972
217	7.965797362
218	7.958712243
219	7.949105617
220	7.932647783
221	7.92477964
222	7.916644399
223	7.910445753
224	7.898262033
225	7.886266996
226	7.871805893
227	7.864445173
228	7.856979775
229	7.847326564
230	7.841167919
231	7.83195836
232	7.82092431
233	7.812014106
234	7.805236237
235	7.796246145
