iter	Passed	Remaining
0	0	574
1	1	554
2	1	554
3	2	596
4	2	578
5	3	571
6	3	561
7	4	562
8	5	569
9	5	575
10	6	591
11	7	580
12	7	581
13	8	580
14	8	585
15	9	578
16	9	575
17	10	577
18	11	573
19	11	570
20	12	564
21	12	564
22	13	571
23	14	578
24	14	574
25	15	575
26	15	575
27	16	576
28	17	575
29	17	572
30	18	569
31	18	569
32	19	576
33	20	572
34	20	571
35	21	569
36	21	568
37	22	572
38	23	568
39	23	566
40	24	565
41	24	564
42	25	565
43	25	562
44	26	563
45	27	563
46	27	563
47	28	562
48	28	559
49	29	560
50	30	558
51	30	558
52	31	556
53	31	555
54	32	554
55	33	559
56	33	557
57	34	555
58	34	553
59	35	554
60	35	550
61	36	546
62	36	546
63	37	546
64	37	542
65	38	541
66	39	545
67	40	550
68	40	550
69	41	549
70	41	545
71	42	547
72	42	545
73	44	554
74	45	556
75	45	552
76	46	551
77	46	550
78	47	548
79	47	547
80	48	548
81	48	546
82	49	545
83	50	545
84	50	543
85	51	542
86	51	542
87	53	550
88	53	549
89	54	549
90	54	548
91	55	547
92	56	546
93	56	547
94	57	544
95	57	541
96	58	545
97	59	543
98	59	540
99	59	538
100	60	536
101	60	536
102	61	534
103	61	533
104	62	534
105	64	542
106	64	540
107	65	541
108	66	540
109	66	538
110	67	538
111	67	536
112	68	536
113	68	535
114	69	534
115	70	534
116	70	531
117	71	530
118	71	530
119	72	530
120	72	528
121	73	527
122	73	526
123	74	525
124	74	524
125	75	524
126	76	523
127	76	521
128	77	521
129	77	519
130	78	520
131	78	519
132	79	518
133	80	517
134	80	516
135	81	515
136	81	514
137	82	513
138	82	512
139	83	511
140	83	511
141	84	510
142	85	511
143	85	510
144	86	510
145	87	509
146	87	508
147	88	507
148	88	506
149	90	512
150	91	511
151	91	510
152	92	510
153	92	508
154	93	507
155	93	507
156	94	505
157	94	505
158	95	504
159	95	503
160	96	502
161	96	501
162	97	500
163	98	500
164	98	499
165	99	499
166	99	498
167	100	497
168	100	496
169	101	495
170	101	494
171	102	493
172	103	492
173	103	491
174	104	490
175	104	489
176	105	488
177	105	487
178	106	487
179	106	486
180	107	486
181	108	486
182	108	485
183	109	484
184	109	483
185	110	484
186	111	484
187	111	483
188	112	482
189	112	481
190	113	480
191	114	479
192	114	479
193	115	478
194	115	477
195	116	477
196	116	476
197	117	476
198	117	474
199	118	473
200	119	473
201	119	473
202	120	472
203	120	471
204	121	470
205	121	469
206	122	468
207	122	468
208	123	467
209	124	467
210	124	467
211	125	466
212	125	465
213	126	464
214	127	466
215	128	465
216	128	464
217	129	464
218	130	464
219	130	463
220	131	463
221	132	462
222	132	461
223	133	461
224	134	463
225	134	462
226	135	462
227	136	461
228	136	461
229	138	463
230	138	461
231	139	460
232	139	459
233	140	459
234	141	461
235	142	460
236	143	462
237	145	464
238	145	463
239	146	462
240	147	463
241	147	462
242	148	461
243	148	460
244	149	460
245	149	459
246	151	461
247	152	462
248	153	461
249	153	460
250	154	460
251	154	459
252	155	458
253	156	460
254	157	459
255	157	458
256	159	460
257	159	459
258	160	458
259	161	458
260	161	457
261	161	456
262	163	457
263	164	458
264	164	457
265	166	458
266	166	458
267	167	457
268	168	458
269	169	457
270	169	457
271	170	456
272	170	455
273	172	457
274	173	456
275	173	455
276	175	458
277	176	457
278	176	456
279	177	456
280	177	455
281	178	454
282	178	453
283	179	452
284	179	451
285	180	450
286	180	449
287	181	448
288	182	447
289	182	447
290	183	446
291	183	445
292	184	444
293	184	443
294	185	443
295	186	443
296	186	442
297	187	441
298	188	441
299	188	440
300	189	439
301	189	438
302	190	438
303	191	437
304	191	436
305	192	436
306	192	435
307	193	434
308	193	433
309	194	433
310	195	432
311	195	431
312	196	431
313	197	430
314	197	429
315	198	428
316	198	427
317	199	427
318	199	426
319	200	425
320	200	424
321	201	424
322	202	423
323	202	423
324	203	422
325	204	421
326	204	421
327	205	422
328	206	421
329	207	420
330	207	419
331	208	418
332	208	417
333	209	416
334	210	417
335	210	416
336	212	417
337	213	417
338	213	416
339	214	415
340	214	414
341	215	414
342	215	413
343	217	414
344	217	413
345	218	412
346	219	413
347	220	412
348	220	411
349	221	410
350	222	410
351	222	409
352	223	409
353	223	408
354	224	408
355	225	407
356	226	407
357	226	406
358	227	406
359	228	405
360	228	404
361	229	403
362	229	403
363	230	402
364	231	402
365	231	401
366	232	400
367	232	400
368	233	399
369	234	398
370	234	397
371	235	397
372	235	396
373	236	395
374	236	394
375	238	395
376	239	394
377	239	394
378	240	394
379	241	394
380	242	393
381	242	392
382	243	391
383	243	390
384	244	390
385	245	390
386	245	389
387	246	388
388	246	387
389	247	387
390	248	386
391	248	385
392	249	384
393	249	383
394	250	382
395	250	381
396	251	382
397	252	381
398	253	381
399	253	380
400	254	379
401	255	379
402	255	378
403	256	377
404	256	377
405	257	376
406	258	375
407	258	375
408	259	374
409	259	373
410	260	372
411	260	372
412	261	371
413	261	370
414	263	371
415	263	370
416	264	369
417	265	370
418	266	369
419	266	368
420	267	367
421	267	366
422	268	365
423	268	365
424	269	365
425	270	364
426	271	364
427	272	363
428	273	363
429	273	362
430	274	362
